,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2016-11-04,0.1269490576400015,35.866760043944964,649672.3676894499,657187.2444999999,1358667.6004394502,-1375,-62,-62,108.529999,12.120987599999932,1268.537076400011,436,59,59,152.4,11.623000000000497,12.767000000000428,-602,-7,-7,750.66,4.522000000000344,-18.591999999992776,-1013,-59,-59,48.11,8.76149999999983,6.7784999999962405
2016-11-03,0.6631842832250026,35.73981098630497,646545.7946110503,643647.402626,1357398.10986305,-1313,-29,-29,110.980003,4.523992749999943,2288.658332249989,377,49,49,152.51,8.991500000000736,121.90850000000515,-595,-7,-7,767.25,7.069999999999777,3891.93000000003,-954,-33,-33,48.53,4.223999999999958,329.3460000000015
2016-11-02,0.8715631108999983,35.07662670307996,650094.2967588,639982.494864,1350766.2670308002,-1284,-10,-10,111.400002,2.6199989999999787,-131.91739099999916,328,27,27,152.48,5.6294999999997914,-272.77950000000084,-588,0,0,778.2,0.0,8767.079999999982,-921,-32,-32,48.63,5.231999999999926,353.24799999999897
2016-11-01,0.30425228270999743,34.20506359217997,644761.5259218003,646308.597452,1342050.6359218,-1274,3,3,113.459999,0.4545009000000022,2611.489327100005,301,7,7,153.5,1.249499999999938,-270.8195000000017,-588,-15,-15,782.89,11.145000000000437,510.9449999999705,-889,-37,-37,49.4,5.032000000000051,190.9080000000007
2016-10-31,0.7083647483500013,33.900811309469965,643603.3692637001,636407.801277,1339008.1130947,-1277,15,15,113.650002,2.820001500000032,228.08998349999047,294,12,12,152.76,2.5559999999999947,313.1639999999956,-573,-12,-12,795.47,14.340000000000327,6192.4500000000235,-852,-29,-29,49.74,4.596500000000065,349.9435000000031
2016-10-28,0.10382220835500128,33.19244656111997,639329.2691511998,633916.691292,1331924.4656112,-1292,-3,-3,113.870003,0.5640004499999975,979.5285835500001,282,11,11,154.05,2.2220000000000426,-218.60199999999477,-561,1,1,808.35,0.6995000000000345,-24.919499999990286,-823,-27,-27,49.98,3.6450000000001,302.2149999999977
2016-10-27,0.3995286853100016,33.088624352764974,645715.2399726501,634295.7038670001,1330886.24352765,-1289,42,42,115.389999,9.218997900000215,1429.9618531000035,271,0,0,152.82,0.0,417.3399999999979,-562,0,0,801.0,0.0,2090.640000000016,-796,14,14,50.32,1.9949999999999564,57.344999999998656
2016-10-26,0.8016542199299957,32.689095667454964,638749.3966745501,643435.7246760001,1326890.95667455,-1331,-58,-58,114.309998,8.845008700000012,3303.1001993000004,271,20,20,150.71,3.3299999999998136,252.10000000000176,-562,-14,-14,806.34,9.477999999999975,4805.10199999995,-810,-8,-8,49.27,0.9999999999999887,-343.75999999999567
2016-10-25,0.2236706556200027,31.88744144752497,639146.1921132501,632906.59,1318874.41447525,-1273,2,2,117.949997,0.27399979999999574,-764.6714437999992,251,26,26,150.69,4.056000000000301,70.63400000000016,-548,10,10,816.68,6.180000000000291,2939.2400000000302,-802,17,17,49.49,2.0060000000000118,-8.496000000004184
2016-10-24,-0.8935813602750006,31.66377079190497,648606.0555690503,644325.15255,1316637.7079190502,-1275,11,11,117.099998,1.4465027499999281,-1345.7016027500017,225,16,16,150.4,2.8719999999999346,196.3079999999994,-558,16,16,804.9,5.999999999999636,-7761.400000000005,-819,44,44,49.82,5.82999999999995,-25.019999999998326
2016-10-21,-0.11694604917500001,32.557352152179966,648075.6040938001,651564.887428,1325573.5215218002,-1286,-33,-33,116.809998,5.032491749999853,578.2775082499921,209,35,35,150.58,6.789999999999793,-368.900000000003,-574,-4,-4,795.0,1.9880000000001927,-1387.4679999999876,-863,0,0,49.07,0.0,8.62999999999829
2016-10-20,0.261333822989996,32.67429820135497,650133.9970015503,643736.6174940001,1326742.9820135501,-1253,-18,-18,116.860001,5.3639990999999325,65.14222990000492,174,44,44,151.28,7.96399999999951,36.396000000003404,-570,8,8,803.3,3.5960000000002763,2598.783999999953,-863,6,6,49.46,0.8039999999999936,-86.98400000000123
2016-10-19,-0.3689264495299972,32.412964378364975,656966.00748865,650943.0037049999,1324129.6437836504,-1235,-23,-23,117.25,3.1740023000001147,424.0135046999992,130,37,37,151.27,9.638500000000487,40.211499999998054,-578,19,19,798.86,17.14750000000017,-3726.947499999974,-869,3,3,49.11,0.3720000000000028,-426.54199999999554
2016-10-18,-0.9760611107349965,32.781890827894976,660733.9494909502,659863.141212,1327818.90827895,-1212,-11,-11,118.18,1.682998350000068,102.20939265000901,93,25,25,150.02,4.437499999999659,-262.3375000000007,-597,14,14,787.85,7.245000000000255,-9251.804999999973,-872,12,12,49.18,1.63799999999996,-348.6780000000004
2016-10-17,-0.07797445921500402,33.75795193862997,667101.2881853,660695.5136030001,1337579.5193863001,-1201,-23,-23,117.33000200000001,3.4960011500000863,85.67690784999907,68,21,21,154.45,3.6120000000000574,18.14800000000141,-611,9,9,779.8,4.477500000000328,-889.637500000039,-884,-14,-14,48.59,2.4920000000000417,6.067999999998255
2016-10-14,-0.10926696134999576,33.83592639784498,661372.2775124501,663547.4364659999,1338359.26397845,-1178,-30,-30,117.879997,5.580001499999867,-744.2731135000075,47,23,23,154.47,4.542499999999922,12.517499999999597,-620,0,0,781.65,0.0,-210.79999999994925,-870,22,22,49.6,3.4540000000000477,-150.11400000000057
2016-10-13,0.5589074536749964,33.945193359194974,673416.8147399501,660006.083444,1339451.93359195,-1148,-15,-15,116.790001,2.422502250000008,402.5995367500034,24,23,23,153.7,4.4735000000002465,-4.583500000000004,-620,13,13,781.22,5.245499999999811,4987.714499999957,-892,-2,-2,47.92,0.2559999999999974,203.3440000000035
2016-10-12,-0.2837211341999957,33.386285905519976,662302.5490552001,673915.835468,1333862.8590552001,-1133,-52,-52,117.349998,11.674012999999842,-1135.386341999995,1,23,23,154.97,5.818999999999807,-10.458999999999964,-633,-12,-12,783.76,8.220000000000436,-1943.2499999999611,-890,-37,-37,48.97,5.4760000000000675,251.88399999999905
