,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL,MSFT Position,MSFT Order,MSFT Filled Order,MSFT Trade Price,MSFT Cost to Trade,MSFT PnL
2016-11-04,0.1453206686000014,35.49837332125499,648732.5005945493,657002.914764,1354983.7332125495,-1309,-60,-60,108.529999,11.729987999999935,1206.1876860000107,415,56,56,152.4,11.032000000000473,12.188000000000407,-573,-7,-7,750.66,4.522000000000344,-21.781999999993285,-965,-57,-57,48.11,8.464499999999834,6.275499999996423,-535,-25,-25,58.65,3.162499999999966,250.33749999999998
2016-11-03,0.6425879194500023,35.35305265265499,646720.4415305492,642496.872498,1353530.5265265494,-1249,-26,-26,110.980003,4.055993499999948,2178.3166944999894,359,47,47,152.51,8.624500000000705,115.8355000000049,-566,-5,-5,767.25,5.049999999999841,3706.3200000000284,-908,-31,-31,48.53,3.9679999999999596,313.5220000000014,-510,-10,-10,59.53,1.315000000000012,111.88499999999944
2016-11-02,0.850063597879998,34.71046473320499,648954.2675480492,639999.845108,1347104.6473320492,-1223,-8,-8,111.400002,2.0959991999999827,-125.11352119999918,312,24,24,152.48,5.003999999999815,-259.6440000000008,-561,0,0,778.2,0.0,8364.509999999982,-877,-29,-29,48.63,4.741499999999933,337.068499999999,-500,-10,-10,59.82,1.384999999999991,183.81499999999875
2016-11-01,0.29594431500999774,33.860401135324985,643805.7913532492,645868.67757,1338604.0113532492,-1215,3,3,113.459999,0.4545009000000022,2490.5391501000045,288,8,8,153.5,1.427999999999929,-259.1080000000016,-561,-14,-14,782.89,10.402000000000408,488.22799999997187,-848,-36,-36,49.4,4.896000000000049,182.18400000000068,-490,-16,-16,59.97,1.9999999999999774,57.600000000002204
2016-10-31,0.673775148020001,33.56445682031499,643453.3245491494,635746.9812180001,1335644.5682031491,-1218,18,18,113.650002,3.3840018000000383,217.11598019999087,280,10,10,152.76,2.1299999999999955,298.7699999999958,-547,-11,-11,795.47,13.1450000000003,5911.965000000022,-812,-25,-25,49.74,3.9625000000000554,333.457500000003,-474,-1,-1,60.16,0.14699999999999705,-23.557000000002013
2016-10-28,0.11092104712500145,32.89068167229499,638424.7605429493,634198.471236,1328906.8167229493,-1236,-5,-5,113.870003,0.9400007499999958,935.3724712500001,270,11,11,154.05,2.2220000000000426,-209.721999999995,-536,0,0,808.35,0.0,-10.71999999999025,-787,-27,-27,49.98,3.6450000000001,288.8949999999978,-473,-15,-15,60.01,2.0549999999999855,105.38500000000184
2016-10-27,0.40490472561500146,32.77976062516999,646017.7024066993,632705.0836930001,1327797.6062516992,-1231,43,43,115.389999,9.438497850000221,1365.5627561500032,259,0,0,152.82,0.0,398.85999999999797,-536,2,2,801.0,1.2660000000000309,1988.7940000000146,-760,16,16,50.32,2.27999999999995,53.559999999998716,-458,-3,-3,60.61,0.4095000000000113,242.27050000000048
2016-10-26,0.7823548973449959,32.37485589955499,637297.6389955491,643555.7249040001,1323748.558995549,-1274,-57,-57,114.309998,8.69250855000001,3155.5724734500004,259,19,19,150.71,3.1634999999998232,240.93650000000167,-538,-15,-15,806.34,10.154999999999973,4596.694999999952,-776,-10,-10,49.27,1.2499999999999858,-330.3699999999958,-455,-10,-10,60.81,1.2850000000000108,160.71499999999975
2016-10-25,0.21306614595000248,31.592501002209996,639849.2073240994,631448.1499999999,1315925.0100220994,-1217,5,5,117.949997,0.6849994999999893,-732.3825404999992,240,24,24,150.69,3.7440000000002787,67.77600000000015,-523,11,11,816.68,6.79800000000032,2799.052000000029,-766,19,19,49.49,2.2420000000000133,-8.192000000003995,-445,12,12,60.85,1.841999999999996,4.407999999999109
2016-10-24,-0.9153149889250005,31.37943485625999,647209.4158945995,644766.3424440001,1313794.3485625992,-1222,5,5,117.099998,0.6575012499999673,-1286.2623892500017,216,17,17,150.4,3.0514999999999306,186.89849999999942,-534,13,13,804.9,4.874999999999704,-7413.925000000005,-785,39,39,49.82,5.167499999999956,-22.767499999998385,-457,11,11,59.94,1.6334999999999682,-617.0935000000015
