,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,NFLX Position,NFLX Order,NFLX Filled Order,NFLX Trade Price,NFLX Cost to Trade,NFLX PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,AMZN Position,AMZN Order,AMZN Filled Order,AMZN Trade Price,AMZN Cost to Trade,AMZN PnL
2016-11-04,0.5125860641200013,14.706862496914997,563293.6940831513,561263.808228,1147068.624969151,-443,-6,-6,108.529999,1.1729987999999936,429.59964120000365,-623,-55,-55,122.0,10.669999999999675,50.15999999999994,-195,4,4,750.66,2.5840000000001964,64.74600000000245,140,15,15,152.4,2.955000000000126,4.995000000000175,-382,0,0,762.79,0.0,4576.360000000007
2016-11-03,0.16374023997500003,14.194276432794995,559132.6925799513,562040.560874,1141942.764327951,-437,-3,-3,110.980003,0.4679992499999941,766.8193997499964,-568,-54,-54,122.31,11.447999999999718,100.53200000000183,-199,1,1,767.25,1.0099999999999683,1307.8700000000101,125,14,14,152.51,2.5690000000002104,42.09100000000175,-382,-11,-11,765.05,12.7599999999994,-579.9100000000097
2016-11-02,1.0651384367999999,14.030536192819994,556593.9884562012,549075.5782639999,1140305.361928201,-434,0,0,111.400002,0.0,-43.399131999999724,-514,-43,-43,122.83,12.96449999999982,460.265499999997,-200,0,0,778.2,0.0,2981.9999999999936,111,9,9,152.48,1.8764999999999303,-92.3265000000003,-371,-7,-7,783.93,9.145500000000037,7344.844500000008
2016-11-01,0.32591223105000244,12.965397756019994,552099.1575602012,549072.199132,1129653.9775602012,-434,5,5,113.459999,0.7575015000000036,889.3438105000017,-471,-40,-40,124.98,9.0,734.8700000000034,-200,-2,-2,782.89,1.4860000000000582,181.21399999999,102,1,1,153.5,0.17849999999999114,-91.78850000000057,-364,6,6,799.0,4.6769999999997705,1545.4830000000302
2016-10-31,-0.19819660187000013,12.639485524969995,560009.7939327011,551235.350439,1126394.855249701,-439,17,17,113.650002,3.1960017000000365,77.01398129999664,-431,-18,-18,126.85,4.428000000000014,733.3119999999951,-198,0,0,795.47,0.0,2144.3400000000083,101,2,2,152.76,0.4259999999999991,108.35399999999844,-370,9,9,781.03,7.596000000000254,-5044.986
2016-10-28,1.4889132411999997,12.837682126839995,548252.5789884011,555838.270456,1128376.8212684009,-456,0,0,113.870003,0.0,346.56091200000003,-413,-41,-41,126.08,8.712499999999885,-66.00249999999758,-198,1,1,808.35,0.6995000000000345,-17.659499999996434,99,4,4,154.05,0.8080000000000155,-76.86799999999818,-379,-33,-33,782.0,30.17849999999844,14703.101499999988
2016-10-27,0.3068382763750012,11.348768885639993,545536.6911364011,540676.931368,1113487.6888564012,-456,15,15,115.389999,3.292499250000077,505.8642637500012,-372,-25,-25,127.43,6.212499999999963,191.28750000000025,-199,1,1,801.0,0.6330000000000154,737.7170000000053,95,0,0,152.82,0.0,146.29999999999924,-346,-3,-3,831.24,2.316000000000076,1487.2140000000065
2016-10-26,0.7180005368949957,11.041930609264993,547326.5660926511,540463.848116,1110419.3060926509,-471,-7,-7,114.309998,1.0675010500000015,1224.2143689500003,-347,-26,-26,126.29,5.602999999999929,-170.9429999999977,-200,0,0,806.34,0.0,1719.9999999999818,95,4,4,150.71,0.6659999999999627,88.36400000000063,-343,0,0,832.76,0.0,4318.369999999972
2016-10-25,0.2045646423100038,10.323930072369997,539872.4335077011,543478.45,1103239.3007237012,-464,-1,-1,117.949997,0.13699989999999787,-278.2360768999997,-321,-30,-30,126.52,7.709999999999894,231.20999999999785,-200,3,3,816.68,1.8540000000000874,1075.436000000011,91,10,10,150.69,1.560000000000116,25.450000000000045,-343,3,3,839.3,2.7134999999998852,991.7865000000286
2016-10-24,-0.9965958355750009,10.119365430059991,555315.0970786011,546565.450926,1101193.6543006012,-463,15,15,117.099998,1.9725037499999019,-495.6243557500005,-291,-8,-8,127.42,3.016000000000008,45.814000000000505,-203,10,10,804.9,3.7499999999997726,-2848.2700000000013,81,4,4,150.4,0.7179999999999837,72.34199999999979,-346,20,20,824.95,12.419999999999163,-6740.2200000000075
