,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL
2016-11-04,0.636648278760003,-32.91299063852511,641758.9130767483,29277.958924,670870.0936147482,-269,5523,5523,108.529999,1079.745395399994,6366.482787600029
2016-11-03,0.5859898268499947,-33.54963891728511,15046.627659148298,636135.3715840001,664503.6108271482,-5792,-5658,-5658,110.980003,882.6465854999889,5859.898268499947
2016-11-02,-0.09685373886999919,-34.135628744135104,643741.5714866482,14953.059464,658643.7125586482,-134,5553,5553,111.400002,1454.885444699988,-968.5373886999919
2016-11-01,1.0348064042999976,-34.0387750052651,3161.8399473482214,634043.618626,659612.2499473483,-5687,-5660,-5660,113.459999,857.4916980000041,10348.064042999975
2016-10-31,-0.06627902238000365,-35.07358140956511,646192.6658233483,3065.580027,649264.1859043483,-27,5658,5658,113.650002,1063.704565800012,-662.7902238000365
2016-10-28,-0.020484748064999187,-35.0073023871851,1723.247703148234,646498.2056849999,649926.9761281484,-5685,-5671,-5671,113.870003,1066.1488506499954,-204.8474806499919
2016-10-27,-0.009506132745005062,-34.9868176391201,648503.6236787983,1602.720042,650131.8236087983,-14,5671,5671,115.389999,1244.7842164500291,-95.06132745005061
2016-10-26,-0.7881831845150036,-34.977311506375095,7651.334936248343,657129.12726,650226.8849362484,-5685,-5621,-5621,114.309998,857.203343150001,-7881.831845150036
2016-10-25,-0.2441434827099964,-34.18912832186009,650579.1171653984,7568.0,658108.7167813984,-64,5499,5499,117.949997,753.3624500999882,-2441.434827099964
2016-10-24,-0.38295321167499713,-33.944984839150095,12182.534986498398,654486.961126,660550.1516084983,-5563,-5459,-5459,117.099998,717.8598647499642,-3829.5321167499715
2016-10-21,0.05826288712500239,-33.5620316274751,652209.6039332482,12126.399792,664379.6837252482,-104,5485,5485,116.809998,836.4611287499754,582.6288712500238
2016-10-20,-0.27275047585499584,-33.6202945146001,11784.292497998254,654248.328822,663797.0548539982,-5589,-5489,-5489,116.860001,1635.7217255499795,-2727.5047585499583
2016-10-19,0.04816587022999528,-33.3475440387451,654786.5599125482,11712.0003,666524.5596125482,-100,5447,5447,117.25,751.6865447000272,481.6587022999528
2016-10-18,0.30634394418000244,-33.39570990897509,6560.07645724812,651606.095547,666042.9009102483,-5547,-5492,-5492,118.18,840.2751762000339,3063.4394418000243
2016-10-17,0.08216277838999549,-33.7020538531551,656538.4114134482,6465.250165,662979.4614684482,-55,5522,5522,117.33000200000001,839.3442761000207,821.6277838999548
2016-10-14,0.03369358905500244,-33.78421663154509,3346.84041554846,656022.493269,662157.8336845484,-5577,-5549,-5549,117.879997,1032.1142774499754,336.9358905500244
2016-10-13,0.21825430051999725,-33.81791022060009,658556.0978219984,3275.440084,661820.8977939984,-28,5592,5592,116.790001,903.108838800003,2182.5430051999724
2016-10-12,-0.1095689363249983,-34.03616452112009,75.1547887984209,659450.77752,659638.3547887984,-5620,-5753,-5753,117.349998,1291.5499382499827,-1095.689363249983
2016-10-11,-1.1125704036649982,-33.926595584795095,645266.1437530484,-0.0,660734.0441520484,133,6027,6027,117.699997,1214.4401986500268,-11125.704036649982
2016-10-10,-0.694465671000004,-32.8140251811301,2.7412346982335976,683998.717682,671859.7481886983,-5894,-5925,-5925,115.019997,903.56131500004,-6944.65671000004
2016-10-07,-0.35015241879499004,-32.119559510130095,675268.5449606983,-0.0,678804.4048986983,31,6041,6041,114.309998,969.5801979499603,-3501.5241879499004
2016-10-06,-0.20338961271000308,-31.769407091335104,110.85913664840325,684478.89399,682305.9290866483,-6010,-6011,-6011,113.699997,892.6341010999896,-2033.8961271000308
2016-10-05,-0.3541922430250005,-31.566017478625096,684226.7752107483,-0.0,684339.8252137483,1,6065,6065,113.400002,1115.9603032500013,-3541.922430250005
2016-10-04,-0.04828628544000502,-31.2118252356001,1922.0918999985333,685232.0,687881.7476439984,-6064,-6047,-6047,113.059998,837.5107094000086,-482.8628544000502
2016-10-03,0.09936999900000128,-31.163538950160092,686445.3104813984,1912.8399490000002,688364.6104983984,-17,6097,6097,112.709999,1088.3145000000327,993.6999900000128
2016-09-30,-0.48324044270000105,-31.262908949160092,3397.761078398593,691187.718342,687370.9105083984,-6114,-6085,-6085,112.459999,1216.9999999999654,-4832.40442700001
2016-09-29,0.3852838441950012,-30.77966850646009,688893.2547033986,3253.2200000000003,692203.3149353985,-29,6039,6039,113.160004,969.2591980499602,3852.8384419500126
2016-09-28,-0.2405414444399959,-31.164952350655092,57.19401744846857,691448.581796,688350.4764934485,-6068,-6142,-6142,113.690002,872.1652284000241,-2405.414444399959
2016-09-27,-0.19650538483999583,-30.924410906215098,682387.2312338485,-0.0,690755.8909378485,74,6348,6348,113.0,1218.8147303999772,-1965.0538483999583
2016-09-26,-0.9427530824299986,-30.727905521375106,71.33851224838872,708209.101178,692720.9447862485,-6274,-6277,-6277,111.639999,1644.5733722999867,-9427.530824299985
2016-09-23,0.032051514749999455,-29.785152438945108,701810.3456135485,-0.0,702148.4756105485,3,6155,6155,114.41999799999999,904.7856155000327,320.51514749999455
2016-09-22,-0.27262822359999744,-29.817203953695103,7.843527048646138,705142.258456,701827.9604630485,-6152,-6195,-6195,114.349998,1099.611260999989,-2726.2822359999745
2016-09-21,-0.29153520294500246,-29.544575730095104,699671.5925700486,-0.0,704554.2426990486,43,6329,6329,113.849998,1142.3848164499857,-2915.3520294500245
2016-09-20,-0.48205296389999536,-29.253040527150105,105.97701249861097,713901.0199999999,707469.5947284987,-6286,-6289,-6289,113.050003,1550.2385000000202,-4820.529638999954
2016-09-19,-0.29483160670000846,-28.77098756325011,711949.3843614985,-0.0,712290.1243674986,3,6205,6205,115.190002,1268.9212589999954,-2948.3160670000843
2016-09-16,-0.02796136879999333,-28.476155956550098,23.75081849852154,712733.8275959999,715238.4404344986,-6202,-6512,-6512,115.120003,1380.5456279999619,-279.6136879999333
2016-09-15,-1.6264407863649977,-28.448194587750102,679691.3541224985,-0.0,715518.0541224985,310,7233,7233,113.860001,2325.4098616500223,-16264.407863649976
2016-09-14,-2.2256636824950093,-26.821753801385103,90.52967914858891,773783.689231,731782.4619861485,-6923,-6953,-6953,108.730003,1234.158542950041,-22256.636824950092
2016-09-13,-1.7223567892599971,-24.596090118890093,750800.5989010986,-0.0,754039.0988110986,30,7426,7426,107.510002,1927.0477426000184,-17223.56789259997
2016-09-12,-2.2111570472000013,-22.873733329630095,32698.09191169852,779834.254792,771262.6667036985,-7396,-7085,-7085,102.650002,1626.0089169999674,-22111.570472000014
2016-09-09,0.5350970257549974,-20.662576282430095,760361.5868646984,32073.429067,793374.2371756984,-311,6791,6791,104.639999,1368.3861604500303,5350.970257549974
2016-09-08,1.1144446738799976,-21.19767330818509,14047.285612148453,749403.018694,788023.2669181485,-7102,-6972,-6972,107.25,1286.3346971999974,11144.446738799976
2016-09-07,-0.19588606175000847,-22.31211798206509,762929.8197893484,14086.80013,776878.8201793485,-130,6950,6950,107.83000200000001,969.5253475000062,-1958.8606175000846
2016-09-06,0.02889405250000484,-22.11623192031508,13489.63123684841,762515.97876,778837.6807968485,-7080,-6955,-6955,107.900002,1105.8449999999825,288.9405250000484
2016-09-02,-0.8134083435999981,-22.145125972815084,765089.9913968483,13466.250375,778548.7402718484,-125,7094,7094,107.699997,1127.9459999999824,-8134.083435999982
2016-09-01,-0.5292008458299994,-21.33171762921509,24717.40980284832,770483.891657,786682.8237078484,-7219,-6986,-6986,106.139999,1023.4493493000413,-5292.008458299994
2016-08-31,0.13125623420000151,-20.802516783385087,767458.5698361483,24721.299534,791974.8321661483,-233,7031,7031,105.660004,1054.64999999998,1312.5623420000152
2016-08-30,-0.2337809220199986,-20.933773017585086,23583.82624014844,769984.0,790662.2698241484,-7264,-7044,-7044,105.800003,1109.4303522000112,-2337.809220199986
2016-08-29,0.09864598308500959,-20.699992095565086,769587.6777243484,23500.399999999998,793000.0790443484,-220,6957,6957,106.620003,1266.1736521499765,986.4598308500958
2016-08-26,0.2277684745799975,-20.798638078650097,17758.816151498322,767508.3943540001,792013.6192134983,-7177,-7012,-7012,107.410004,1121.9189481999788,2277.684745799975
2016-08-25,0.3459993835000008,-21.026406553230096,772046.2847976984,17749.05,789735.9344676983,-165,6956,6956,107.389999,1067.7459999999976,3459.9938350000084
2016-08-24,0.28876245991999194,-21.372405936730097,9303.623511698439,769281.622879,786275.9406326984,-7121,-7036,-7036,108.57,981.5223518000064,2887.6245991999194
2016-08-23,-0.1735572431999995,-21.661168396650087,774180.2665434985,9252.24983,783388.3160334985,-85,7038,7038,108.589996,1143.6750000000002,-1735.572431999995
2016-08-22,0.1351052024149964,-21.48761115345009,7221.05846549851,772916.744246,785123.8884654986,-7123,-7057,-7057,108.860001,1174.9908528500137,1351.052024149964
2016-08-19,0.12581479783500746,-21.622716355865087,776632.9569033487,7217.760066,783772.8364413487,-66,7053,7053,108.769997,909.8373526499535,1258.1479783500745
2016-08-18,-0.00057214304000629,-21.748531153700096,3838.4399869986246,776540.534238,782514.6884629986,-7119,-7084,-7084,109.230003,1073.2284793999843,-5.7214304000629
2016-08-17,0.0918653366399996,-21.74795901066009,778706.1100683985,3822.700035,782520.4098933985,-35,7078,7078,109.099998,1068.7794156000302,918.653366399996
2016-08-16,0.05472642426000268,-21.83982434730009,25.337865998618327,778019.918661,781601.7565269986,-7113,-7132,-7132,109.629997,1233.8356433999734,547.2642426000268
2016-08-15,-0.06536357431000209,-21.89455077156009,778974.3722273986,-0.0,781054.4922843985,19,7294,7294,108.139999,970.1030941000479,-653.6357431000209
